defense	Round	TrayPos	LPopID	Lbarcode	LCrossNum	Lindiv	Lorigin	Leaten.mm	Lrem.pro	RPopID	Rbarcode	RCrossNum	Rindiv	Rorigin	Reaten.mm	Rrem.pro	MostEat	EatDiffI.N	MostEat.Scan	eat.bin
Induced 3 5 69	Induced 3	5	69		SAND-2-2	NA	NA	SK	1.230956624	0.96	NA	RU008-2-1	NA	NA	nat	7.302986355	0.766	nat	-6.072029731	nat	1
Induced 3 5 70	Induced 3	5	70		CA001-6-2	NA	NA	inv	0.382734412	0.988	NA	RU008-8-4	NA	NA	nat	0	1	nat	0.382734412	inv	0
Induced 3 5 71	Induced 3	5	71		US001-12-2	NA	NA	inv	3.268758765	0.895	NA	GR002-5-1	NA	NA	nat	3.81699995	0.877	inv	-0.548241185	nat	1
Induced 3 5 72	Induced 3	5	72		US002-3-6	NA	NA	inv	1.892983715	0.939	NA	TR001-2-1	NA	NA	nat	6.920251942	0.778	nat	-5.027268227	nat	1
Induced 3 5 73	Induced 3	5	73		US002-5-2	NA	NA	inv	4.716943028	0.849	NA	SAND-2-7	NA	NA	SK	0	1	inv	4.716943028	inv	0
Induced 3 5 74	Induced 3	5	74		CA001-15-4	NA	NA	inv	3.78596743	0.878	NA	GR002-3-3	NA	NA	nat	0	1	inv	3.78596743	inv	0
Induced 3 6 75	Induced 3	6	75		US001-7-7	NA	NA	inv	0	1	NA	RU008-2-1	NA	NA	nat	1.820574502	0.942	nat	-1.820574502	nat	1
Induced 3 6 76	Induced 3	6	76		US003-11-1	NA	NA	inv	0	1	NA	SAND-2-7	NA	NA	SK	4.810040588	0.846	sk	-4.810040588	sk	2
Induced 3 6 77	Induced 3	6	77		US002-3-25	NA	NA	inv	1.986081275	0.936	NA	RU008-8-1	NA	NA	nat	7.933980926	0.745	nat	-5.947899651	nat	1
Induced 3 6 78	Induced 3	6	78		SAND-2-7	NA	NA	SK	5.637574452	0.819	NA	BG001-3-1	NA	NA	nat	2.068834661	0.934	sk	3.568739791	sk	2
Induced 3 6 79	Induced 3	6	79		US003-16-2	NA	NA	inv	1.18957993	0.962	NA	BG001-17-2	NA	NA	nat	8.875300697	0.715	nat	-7.685720767	nat	1
Induced 3 6 80	Induced 3	6	80		US001-2-6	NA	NA	inv	0.134474253	0.996	NA	GR002-5-1	NA	NA	nat	9.992471414	0.679	nat	-9.857997161	nat	1
Induced 3 6 81	Induced 3	6	81		US003-16-14	NA	NA	inv	0	1	NA	SAND-1-5	NA	NA	SK	0	1	sk	0	sk	2
Induced 3 6 82	Induced 3	6	82		CA001-11-1	NA	NA	inv	0.289636853	0.991	NA	TR001-6-7	NA	NA	nat	0.827533865	0.973	NA	-0.537897012	nat	1
Induced 3 6 83	Induced 3	6	83		SAND-2-2	NA	NA	SK	5.078989094	0.837	NA	TR001-10-4	NA	NA	nat	0	1	sk	5.078989094	sk	2
Induced 3 6 84	Induced 3	6	84		CA001-6-2	NA	NA	inv	0	1	NA	GR002-3-1	NA	NA	nat	0	1	NA	0	tie	3
Induced 3 6 85	Induced 3	6	85		US001-12-2	NA	NA	inv	0	1	NA	GR002-3-3	NA	NA	nat	2.244685608	0.928	NA	-2.244685608	nat	1
Induced 3 6 86	Induced 3	6	86		US002-3-6	NA	NA	inv	1.520593476	0.951	NA	BG001-8-5	NA	NA	nat	6.671991783	0.786	nat	-5.151398307	nat	1
Induced 3 6 87	Induced 3	6	87		US002-5-2	NA	NA	inv	0.610306225	0.98	NA	RU008-8-4	NA	NA	nat	4.499715388	0.856	nat	-3.889409163	nat	1
Induced 3 6 88	Induced 3	6	88		CA001-15-4	NA	NA	inv	1.686100249	0.946	NA	TR001-2-1	NA	NA	nat	0	1	inv	1.686100249	inv	0
